TradeDate,ResourceName,StartTime,EndTime,MeteredFlow,FlowVariance,ResidualCapacity
"2023-12-01","I_NIMOYLE","2023-12-01T16:00:00","2023-12-01T16:30:00",216.5,-8.5,50
"2023-12-01","I_ROIEWIC","2023-12-01T16:00:00","2023-12-01T16:29:59",81.61,35.1105,422.001
"2023-12-01","I_NIMOYLE","2023-12-01T17:00:00","2023-12-01T17:30:00",215.2,27.2,124
"2023-12-01","I_ROIEWIC","2023-12-01T17:00:00","2023-12-01T17:29:59",217.86,34.86,149
"2023-12-01","I_NIMOYLE","2023-12-01T18:00:00","2023-12-01T18:30:00",224.3,-0.7,50
"2023-12-01","I_ROIEWIC","2023-12-01T18:00:00","2023-12-01T18:29:59",186.04,-4.46,134
"2023-12-01","I_NIMOYLE","2023-12-01T19:00:00","2023-12-01T19:30:00",224.4,-0.6,50
"2023-12-01","I_ROIEWIC","2023-12-01T19:00:00","2023-12-01T19:29:59",130.86,-11.14,231
"2023-12-01","I_NIMOYLE","2023-12-01T20:00:00","2023-12-01T20:30:00",211.4,-13.6,50
"2023-12-01","I_ROIEWIC","2023-12-01T20:00:00","2023-12-01T20:29:59",89.03,-36.97,263
"2023-12-01","I_NIMOYLE","2023-12-01T21:00:00","2023-12-01T21:30:00",181.3,-16.7,104
"2023-12-01","I_ROIEWIC","2023-12-01T21:00:00","2023-12-01T21:29:59",126.46,10.46,283
"2023-12-01","I_ROIEWIC","2023-12-01T22:00:00","2023-12-01T22:29:59",137.36,-23.64,193
"2023-12-02","I_ROIEWIC","2023-12-01T23:00:00","2023-12-01T23:29:59",252.23,28.23,67
"2023-12-02","I_ROIEWIC","2023-12-02T01:00:00","2023-12-02T01:29:59",220.39,30.89,136
"2023-12-02","I_ROIEWIC","2023-12-02T02:00:00","2023-12-02T02:29:59",263.52,-1.48,-15
"2023-12-02","I_ROIEWIC","2023-12-02T03:00:00","2023-12-02T03:29:59",263.56,-1.44,-15
"2023-12-02","I_ROIEWIC","2023-12-02T04:00:00","2023-12-02T04:29:59",263.65,-1.35,-15
"2023-12-02","I_NIMOYLE","2023-12-02T05:00:00","2023-12-02T05:30:00",149.5,-31.5,138
"2023-12-02","I_ROIEWIC","2023-12-02T05:00:00","2023-12-02T05:29:59",183.29,-38.71,71
