TradeDate,DeliveryDate,StartTime,EndTime,Forecast
2024-02-15,2024-02-15,2024-02-15T08:15:00,2024-02-15T08:30:00,958.964
2024-02-15,2024-02-15,2024-02-15T08:30:00,2024-02-15T08:45:00,932.195
2024-02-15,2024-02-15,2024-02-15T08:45:00,2024-02-15T09:00:00,905.416
2024-02-15,2024-02-15,2024-02-15T09:00:00,2024-02-15T09:15:00,878.652
2024-02-15,2024-02-15,2024-02-15T09:15:00,2024-02-15T09:30:00,846.187
2024-02-15,2024-02-15,2024-02-15T09:30:00,2024-02-15T09:45:00,813.717
2024-02-15,2024-02-15,2024-02-15T09:45:00,2024-02-15T10:00:00,781.255
2024-02-15,2024-02-15,2024-02-15T10:00:00,2024-02-15T10:15:00,748.787
2024-02-15,2024-02-15,2024-02-15T10:15:00,2024-02-15T10:30:00,720.089
2024-02-15,2024-02-15,2024-02-15T10:30:00,2024-02-15T10:45:00,691.399
2024-02-15,2024-02-15,2024-02-15T10:45:00,2024-02-15T11:00:00,662.7
2024-02-15,2024-02-15,2024-02-15T11:00:00,2024-02-15T11:15:00,634.019
2024-02-15,2024-02-15,2024-02-15T11:15:00,2024-02-15T11:30:00,636.907
2024-02-15,2024-02-15,2024-02-15T11:30:00,2024-02-15T11:45:00,639.783
2024-02-15,2024-02-15,2024-02-15T11:45:00,2024-02-15T12:00:00,642.668
2024-02-15,2024-02-15,2024-02-15T12:00:00,2024-02-15T12:15:00,645.547
2024-02-15,2024-02-15,2024-02-15T12:15:00,2024-02-15T12:30:00,671.118
2024-02-15,2024-02-15,2024-02-15T12:30:00,2024-02-15T12:45:00,696.699
2024-02-15,2024-02-15,2024-02-15T12:45:00,2024-02-15T13:00:00,722.265
2024-02-15,2024-02-15,2024-02-15T13:00:00,2024-02-15T13:15:00,756.151
2024-02-15,2024-02-15,2024-02-15T13:15:00,2024-02-15T13:30:00,759.041
2024-02-15,2024-02-15,2024-02-15T13:30:00,2024-02-15T13:45:00,761.92
2024-02-15,2024-02-15,2024-02-15T13:45:00,2024-02-15T14:00:00,764.805
2024-02-15,2024-02-15,2024-02-15T14:00:00,2024-02-15T14:15:00,767.686
2024-02-15,2024-02-15,2024-02-15T14:15:00,2024-02-15T14:30:00,772.841
2024-02-15,2024-02-15,2024-02-15T14:30:00,2024-02-15T14:45:00,778.013
2024-02-15,2024-02-15,2024-02-15T14:45:00,2024-02-15T15:00:00,783.178
2024-02-15,2024-02-15,2024-02-15T15:00:00,2024-02-15T15:15:00,788.34
2024-02-15,2024-02-15,2024-02-15T15:15:00,2024-02-15T15:30:00,787.645
2024-02-15,2024-02-15,2024-02-15T15:30:00,2024-02-15T15:45:00,786.957
2024-02-15,2024-02-15,2024-02-15T15:45:00,2024-02-15T16:00:00,786.272
2024-02-15,2024-02-15,2024-02-15T16:00:00,2024-02-15T16:15:00,785.58
2024-02-15,2024-02-15,2024-02-15T16:15:00,2024-02-15T16:30:00,777.309
2024-02-15,2024-02-15,2024-02-15T16:30:00,2024-02-15T16:45:00,769.047
2024-02-15,2024-02-15,2024-02-15T16:45:00,2024-02-15T17:00:00,760.769
2024-02-15,2024-02-15,2024-02-15T17:00:00,2024-02-15T17:15:00,752.497
2024-02-15,2024-02-15,2024-02-15T17:15:00,2024-02-15T17:30:00,766.444
2024-02-15,2024-02-15,2024-02-15T17:30:00,2024-02-15T17:45:00,780.405
2024-02-15,2024-02-15,2024-02-15T17:45:00,2024-02-15T18:00:00,794.346
2024-02-15,2024-02-15,2024-02-15T18:00:00,2024-02-15T18:15:00,808.432
2024-02-15,2024-02-15,2024-02-15T18:15:00,2024-02-15T18:30:00,830.044
2024-02-15,2024-02-15,2024-02-15T18:30:00,2024-02-15T18:45:00,851.664
2024-02-15,2024-02-15,2024-02-15T18:45:00,2024-02-15T19:00:00,873.289
2024-02-15,2024-02-15,2024-02-15T19:00:00,2024-02-15T19:15:00,983.508
2024-02-15,2024-02-15,2024-02-15T19:15:00,2024-02-15T19:30:00,1036.505
2024-02-15,2024-02-15,2024-02-15T19:30:00,2024-02-15T19:45:00,1089.519
2024-02-15,2024-02-15,2024-02-15T19:45:00,2024-02-15T20:00:00,1142.522
2024-02-15,2024-02-15,2024-02-15T20:00:00,2024-02-15T20:15:00,1195.523
2024-02-15,2024-02-15,2024-02-15T20:15:00,2024-02-15T20:30:00,1234.532
2024-02-15,2024-02-15,2024-02-15T20:30:00,2024-02-15T20:45:00,1273.567
2024-02-15,2024-02-15,2024-02-15T20:45:00,2024-02-15T21:00:00,1312.601
2024-02-15,2024-02-15,2024-02-15T21:00:00,2024-02-15T21:15:00,1351.613
2024-02-15,2024-02-15,2024-02-15T21:15:00,2024-02-15T21:30:00,1396.825
2024-02-15,2024-02-15,2024-02-15T21:30:00,2024-02-15T21:45:00,1442.057
2024-02-15,2024-02-15,2024-02-15T21:45:00,2024-02-15T22:00:00,1487.279
2024-02-15,2024-02-15,2024-02-15T22:00:00,2024-02-15T22:15:00,1532.5
2024-02-15,2024-02-15,2024-02-15T22:15:00,2024-02-15T22:30:00,1562.114
2024-02-15,2024-02-15,2024-02-15T22:30:00,2024-02-15T22:45:00,1591.74
2024-02-15,2024-02-15,2024-02-15T22:45:00,2024-02-15T23:00:00,1621.351
2024-02-16,2024-02-15,2024-02-15T23:00:00,2024-02-15T23:15:00,1650.981
2024-02-16,2024-02-15,2024-02-15T23:15:00,2024-02-15T23:30:00,1685.987
2024-02-16,2024-02-15,2024-02-15T23:30:00,2024-02-15T23:45:00,1720.98
2024-02-16,2024-02-15,2024-02-15T23:45:00,2024-02-16T00:00:00,1755.987
2024-02-16,2024-02-16,2024-02-16T00:00:00,2024-02-16T00:15:00,1790.996
2024-02-16,2024-02-16,2024-02-16T00:15:00,2024-02-16T00:30:00,1844.278
2024-02-16,2024-02-16,2024-02-16T00:30:00,2024-02-16T00:45:00,1897.544
2024-02-16,2024-02-16,2024-02-16T00:45:00,2024-02-16T01:00:00,1950.82
2024-02-16,2024-02-16,2024-02-16T01:00:00,2024-02-16T01:15:00,2040.667
2024-02-16,2024-02-16,2024-02-16T01:15:00,2024-02-16T01:30:00,2056.308
2024-02-16,2024-02-16,2024-02-16T01:30:00,2024-02-16T01:45:00,2071.961
2024-02-16,2024-02-16,2024-02-16T01:45:00,2024-02-16T02:00:00,2087.587
2024-02-16,2024-02-16,2024-02-16T02:00:00,2024-02-16T02:15:00,2103.239
2024-02-16,2024-02-16,2024-02-16T02:15:00,2024-02-16T02:30:00,2085.12
2024-02-16,2024-02-16,2024-02-16T02:30:00,2024-02-16T02:45:00,2066.992
2024-02-16,2024-02-16,2024-02-16T02:45:00,2024-02-16T03:00:00,2048.88
2024-02-16,2024-02-16,2024-02-16T03:00:00,2024-02-16T03:15:00,2030.769
2024-02-16,2024-02-16,2024-02-16T03:15:00,2024-02-16T03:30:00,2024.048
2024-02-16,2024-02-16,2024-02-16T03:30:00,2024-02-16T03:45:00,2017.34
2024-02-16,2024-02-16,2024-02-16T03:45:00,2024-02-16T04:00:00,2010.632
2024-02-16,2024-02-16,2024-02-16T04:00:00,2024-02-16T04:15:00,2003.932
2024-02-16,2024-02-16,2024-02-16T04:15:00,2024-02-16T04:30:00,2008.314
2024-02-16,2024-02-16,2024-02-16T04:30:00,2024-02-16T04:45:00,2012.711
2024-02-16,2024-02-16,2024-02-16T04:45:00,2024-02-16T05:00:00,2017.096
2024-02-16,2024-02-16,2024-02-16T05:00:00,2024-02-16T05:15:00,2021.487
2024-02-16,2024-02-16,2024-02-16T05:15:00,2024-02-16T05:30:00,2000.539
2024-02-16,2024-02-16,2024-02-16T05:30:00,2024-02-16T05:45:00,1979.611
2024-02-16,2024-02-16,2024-02-16T05:45:00,2024-02-16T06:00:00,1958.675
