EffTime,ParticipantName,ResourceName,DispatchInstructionMW,InstructionCode,InstrIssueTime,RampUpRate,RampDownRate
2024-02-14T09:34:00,PT_400030,GU_400362,0.0,SYNC,2024-02-14T09:32:19,0,0
2024-02-14T09:34:00,PT_400030,GU_400362,0.0,MWOF,2024-02-14T09:32:19,0,0
2024-02-14T09:34:00,PT_400030,GU_400362,5.0,MWOF,2024-02-14T09:32:19,0,0
2024-02-14T09:23:00,PT_400064,GU_400762,400.0,MWOF,2024-02-14T09:21:08,0,0
2024-02-14T09:22:00,PT_400035,GU_400480,245.0,MWOF,2024-02-14T09:20:56,0,0
2024-02-14T09:16:00,PT_400035,GU_400480,270.0,MWOF,2024-02-14T09:14:02,0,0
2024-02-14T09:15:00,PT_500040,GU_503730,113.0,MWOF,2024-02-14T09:13:18,0,0
2024-02-14T09:13:00,PT_500040,GU_503720,113.0,MWOF,2024-02-14T08:57:43,0,0
2024-02-14T09:13:00,PT_500040,GU_503720,0.0,SYNC,2024-02-14T08:57:43,0,0
2024-02-14T09:12:07,PT_400021,GU_401990,70.0,WIND,2024-02-14T09:12:07,0,0
2024-02-14T08:52:00,PT_400030,GU_400290,8.0,MWOF,2024-02-14T08:50:44,0,0
2024-02-14T08:43:00,PT_400030,GU_400272,99.0,MWOF,2024-02-14T08:41:51,0,0
2024-02-14T08:34:00,PT_400064,GU_400762,450.0,MWOF,2024-02-14T08:32:51,0,0
2024-02-14T08:19:00,PT_400044,GU_400540,276.0,MWOF,2024-02-14T08:17:26,0,0
2024-02-14T08:18:00,PT_400024,GU_400121,78.0,MWOF,2024-02-14T08:16:59,0,0
2024-02-14T08:17:00,PT_500040,GU_503730,150.0,MWOF,2024-02-14T08:15:59,0,0
2024-02-14T08:17:00,PT_400030,GU_400272,140.0,MWOF,2024-02-14T08:15:31,0,0
2024-02-14T08:16:00,PT_500024,GU_500040,392.0,MWOF,2024-02-14T08:14:36,0,0
2024-02-14T08:04:00,PT_400030,GU_400281,4.0,MWOF,2024-02-14T08:02:10,0,0
2024-02-14T08:00:05,PT_400021,GU_400021,0.37,WIND,2024-02-14T08:00:05,0,0
2024-02-14T08:00:00,PT_400030,GU_400280,15.0,MWOF,2024-02-14T07:58:40,0,0
2024-02-14T07:59:00,PT_500040,GU_503730,160.0,MWOF,2024-02-14T07:57:55,0,0
2024-02-14T07:54:00,PT_400116,DSU_403760,5.0,MWOF,2024-02-14T07:58:31,0,0
2024-02-14T07:52:41,PT_400021,GU_400600,7.58,WIND,2024-02-14T07:52:41,0,0
2024-02-14T07:52:33,PT_400192,GU_401980,6.87,WIND,2024-02-14T07:52:33,0,0
2024-02-14T07:52:33,PT_400062,GU_404290,2.28,WIND,2024-02-14T07:52:33,0,0
2024-02-14T07:52:31,PT_400202,GU_404500,8.97,WIND,2024-02-14T07:52:31,0,0
2024-02-14T07:52:27,PT_400200,GU_404570,16.8,WIND,2024-02-14T07:52:27,0,0
2024-02-14T07:52:21,PT_400202,GU_404490,19.97,WIND,2024-02-14T07:52:21,0,0
2024-02-14T07:52:21,PT_400062,GU_404200,11.46,WIND,2024-02-14T07:52:21,0,0
2024-02-14T07:52:21,PT_400051,GU_402280,8.97,WIND,2024-02-14T07:52:21,0,0
2024-02-14T07:52:21,PT_400043,GU_400660,20.48,WIND,2024-02-14T07:52:21,0,0
2024-02-14T07:45:00,PT_400116,DSU_403760,4.0,MWOF,2024-02-14T07:50:18,0,0
2024-02-14T07:42:00,PT_400030,GU_400290,0.0,SYNC,2024-02-14T07:40:34,0,0
2024-02-14T07:42:00,PT_400030,GU_400290,3.0,MWOF,2024-02-14T07:40:34,0,0
2024-02-14T07:41:05,PT_400021,GU_400600,5.02,WIND,2024-02-14T07:41:05,0,0
2024-02-14T07:41:00,PT_400030,GU_400363,5.0,MWOF,2024-02-14T07:39:00,0,0
2024-02-14T07:41:00,PT_400030,GU_400363,0.0,MWOF,2024-02-14T07:39:00,0,0
2024-02-14T07:41:00,PT_400030,GU_400363,0.0,SYNC,2024-02-14T07:39:00,0,0
2024-02-14T07:40:57,PT_400192,GU_401980,7.34,WIND,2024-02-14T07:40:57,0,0
2024-02-14T07:40:57,PT_400062,GU_404290,3.27,WIND,2024-02-14T07:40:57,0,0
